 &SRS
 SRSRUN=236468,SRSDAT=2021124,SRSTIM=2584,
 SRSSTN='Bran',SRSPRJ='I06-1   ',SRSEXP='Emulator',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
<MetaDataAtStart>
command=scan fastEnergy 0.0 199.0 1.0 fesData 0 1
date='Wed Feb 24 14:58:04 2021'
beamenergy=3.00095538782
ringcurrent=298.391112813
iddgap=36.3855
iddtrp=-22.426
iddbrp=-22.426
idugap=100.0
idutrp=0.0
idubrp=0.0
pugap=155.004
pgmpitch=88.2676184772
pgmgratpitch=87.5559949051
cff=2.25
grating=400
pgmenergy=694.8032
denergy=694.803
uenergy=694.803
s1xgap=1.497
s1ygap=1.496
m1x=-5.0
m1pitch=-8509.0
m1qg=0.0924
m6x=3.0
m6yaw=-247.0
m6pitch=-10910.0
m6qg=0.0273
m7x=-1.4
m7pitch=6949.0
m7qg=14.3463
d9y=-16.000026
d10y=6.003
d11y=2.9
s6x=1.5147
s6xgap=1499.9
s6y=8.4887
s6ygap=20.068
iamp12_gain=10^7 V/A
magx=0.0
magy=0.0
magz=6.0
scmx=0.0
scmy=-4.0
scmth=3e-05
Tsample_mag=1.9
amp_scm_gain=5.0
amp_XABS_gain=6.0
amp_DDIFF_gain=5.0
m7y=-19.1
</MetaDataAtStart>
 &END
fastEnergy	pIndex	C1	C2	C3	C4	iddenergy	pgmenergy	C5	C6	idio	ifio	ifioft	ifiofb
694.923800	    0	  33106.000000000000	  21361.000000000000	   4928.000000000000	   1985.000000000000	    695.624000000000	    694.923800000000	   5997.000000000000	      0.000000000000	      1.549833809279	      0.230700809887	      0.092926361125	      0.280745283461
695.131000	    1	  33520.000000000000	  21562.000000000000	   4956.000000000000	   1792.000000000000	    695.624000000000	    695.131000000000	   5991.000000000000	      0.000000000000	      1.554586773027	      0.229848808088	      0.083109173546	      0.277849921158
695.345800	    2	  33801.000000000000	  21715.000000000000	   4958.000000000000	   1845.000000000000	    695.709000000000	    695.345800000000	   6028.000000000000	      0.000000000000	      1.556573796915	      0.228321436795	      0.084964310385	      0.277596131706
695.544200	    3	  33808.000000000000	  21724.000000000000	   4980.000000000000	   2046.000000000000	    695.912000000000	    695.544200000000	   6023.000000000000	      0.000000000000	      1.556251150801	      0.229239550727	      0.094181550359	      0.277250966673
695.757300	    4	  33853.000000000000	  21745.000000000000	   4957.000000000000	   2054.000000000000	    696.103000000000	    695.757300000000	   6017.000000000000	      0.000000000000	      1.556817659232	      0.227960450678	      0.094458496206	      0.276707289032
695.943300	    5	  33881.000000000000	  21763.000000000000	   4960.000000000000	   1858.000000000000	    696.315000000000	    695.943300000000	   6027.000000000000	      0.000000000000	      1.556816615356	      0.227909755089	      0.085374259064	      0.276937922161
696.148100	    6	  33906.000000000000	  21784.000000000000	   4951.000000000000	   1801.000000000000	    696.553000000000	    696.148100000000	   6020.000000000000	      0.000000000000	      1.556463459420	      0.227276900477	      0.082675358061	      0.276349614396
696.330700	    7	  33903.000000000000	  21789.000000000000	   4975.000000000000	   1957.000000000000	    696.748000000000	    696.330700000000	   6028.000000000000	      0.000000000000	      1.555968608013	      0.228326219652	      0.089815962183	      0.276653357199
696.548800	    8	  33932.000000000000	  21806.000000000000	   4986.000000000000	   2094.000000000000	    696.993000000000	    696.548800000000	   5999.000000000000	      0.000000000000	      1.556085481060	      0.228652664404	      0.096028615977	      0.275107768504
696.736300	    9	  33935.000000000000	  21819.000000000000	   4980.000000000000	   1950.000000000000	    697.222000000000	    696.736300000000	   6028.000000000000	      0.000000000000	      1.555295843073	      0.228241440946	      0.089371648563	      0.276272973097
696.948600	   10	  33932.000000000000	  21823.000000000000	   4983.000000000000	   1787.000000000000	    697.445000000000	    696.948600000000	   6022.000000000000	      0.000000000000	      1.554873298813	      0.228337075562	      0.081886083490	      0.275947394950
697.153900	   11	  33962.000000000000	  21832.000000000000	   4991.000000000000	   1882.000000000000	    697.705000000000	    697.153900000000	   6021.000000000000	      0.000000000000	      1.555606449249	      0.228609380726	      0.086203737633	      0.275787834372
697.362400	   12	  33961.000000000000	  21841.000000000000	   4982.000000000000	   2069.000000000000	    697.894000000000	    697.362400000000	   6025.000000000000	      0.000000000000	      1.554919646536	      0.228103108832	      0.094730094776	      0.275857332540
