 &SRS
 SRSRUN=236467,SRSDAT=2021124,SRSTIM=2563,
 SRSSTN='Bran',SRSPRJ='I06-1   ',SRSEXP='Emulator',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
<MetaDataAtStart>
command=scan fastEnergy 0.0 199.0 1.0 fesData 0 1
date='Wed Feb 24 14:56:02 2021'
beamenergy=3.00093564698
ringcurrent=299.339180813
iddgap=36.2784
iddtrp=22.4135
iddbrp=22.4135
idugap=100.0
idutrp=0.0
idubrp=0.0
pugap=155.004
pgmpitch=88.267633402
pgmgratpitch=87.5558768731
cff=2.25
grating=400
pgmenergy=694.6734
denergy=694.673
uenergy=694.673
s1xgap=1.497
s1ygap=1.496
m1x=-5.0
m1pitch=-8509.0
m1qg=0.0894
m6x=3.0
m6yaw=-247.0
m6pitch=-10910.0
m6qg=0.0417
m7x=-1.4
m7pitch=6949.0
m7qg=15.1122
d9y=-16.000026
d10y=6.003
d11y=2.9
s6x=1.5147
s6xgap=1500.0
s6y=8.4886
s6ygap=20.068
iamp12_gain=10^7 V/A
magx=0.0
magy=0.0
magz=6.0
scmx=0.0
scmy=-4.0
scmth=3e-05
Tsample_mag=1.9
amp_scm_gain=5.0
amp_XABS_gain=6.0
amp_DDIFF_gain=5.0
m7y=-19.1
</MetaDataAtStart>
 &END
fastEnergy	pIndex	C1	C2	C3	C4	iddenergy	pgmenergy	C5	C6	idio	ifio	ifioft	ifiofb
699.603500	   22	  36963.000000000000	  22836.000000000000	   4973.000000000000	   1790.000000000000	    699.531000000000	    699.603500000000	   6004.000000000000	      0.000000000000	      1.618628481345	      0.217770187423	      0.078385006131	      0.262918199334
699.809900	   23	  36982.000000000000	  22841.000000000000	   4964.000000000000	   1944.000000000000	    699.701000000000	    699.809900000000	   6015.000000000000	      0.000000000000	      1.619105993608	      0.217328488245	      0.085110109014	      0.263342235454
700.022600	   24	  37004.000000000000	  22858.000000000000	   4993.000000000000	   2082.000000000000	    699.946000000000	    700.022600000000	   6034.000000000000	      0.000000000000	      1.618864292589	      0.218435558667	      0.091084084347	      0.263977600840
700.238900	   25	  37015.000000000000	  22872.000000000000	   4997.000000000000	   1962.000000000000	    700.170000000000	    700.238900000000	   6030.000000000000	      0.000000000000	      1.618354319692	      0.218476740119	      0.085781741868	      0.263641133263
700.441600	   26	  37035.000000000000	  22870.000000000000	   5006.000000000000	   1796.000000000000	    700.391000000000	    700.441600000000	   6052.000000000000	      0.000000000000	      1.619370354176	      0.218889374727	      0.078530826410	      0.264626147792
700.636300	   27	  37048.000000000000	  22874.000000000000	   5005.000000000000	   1860.000000000000	    700.585000000000	    700.636300000000	   6055.000000000000	      0.000000000000	      1.619655504066	      0.218807379558	      0.081315030165	      0.264711025619
700.826400	   28	  37067.000000000000	  22887.000000000000	   5006.000000000000	   2058.000000000000	    700.850000000000	    700.826400000000	   6054.000000000000	      0.000000000000	      1.619565692314	      0.218726788133	      0.089920041945	      0.264516974702
701.026900	   29	  37084.000000000000	  22891.000000000000	   5016.000000000000	   2044.000000000000	    701.066000000000	    701.026900000000	   6108.000000000000	      0.000000000000	      1.620025337469	      0.219125420471	      0.089292735136	      0.266829758420
701.215200	   30	  37085.000000000000	  22886.000000000000	   5024.000000000000	   1845.000000000000	    701.319000000000	    701.215200000000	   6134.000000000000	      0.000000000000	      1.620422966005	      0.219522852399	      0.080616971074	      0.268024119549
701.422600	   31	  37116.000000000000	  22896.000000000000	   5016.000000000000	   1833.000000000000	    701.556000000000	    701.422600000000	   6122.000000000000	      0.000000000000	      1.621069182390	      0.219077568134	      0.080057651992	      0.267382948987
701.605500	   32	  37180.000000000000	  22916.000000000000	   5035.000000000000	   1969.000000000000	    701.746000000000	    701.605500000000	   6192.000000000000	      0.000000000000	      1.622447198464	      0.219715482632	      0.085922499564	      0.270204224123
701.808400	   33	  37195.000000000000	  22912.000000000000	   5064.000000000000	   2070.000000000000	    701.977000000000	    701.808400000000	   6228.000000000000	      0.000000000000	      1.623385125698	      0.221019553073	      0.090345670391	      0.271822625698
701.999200	   34	  37219.000000000000	  22912.000000000000	   5049.000000000000	   1924.000000000000	    702.234000000000	    701.999200000000	   6261.000000000000	      0.000000000000	      1.624432611732	      0.220364874302	      0.083973463687	      0.273262918994
702.215800	   35	  37251.000000000000	  22923.000000000000	   5062.000000000000	   1821.000000000000	    702.458000000000	    702.215800000000	   6296.000000000000	      0.000000000000	      1.625049077346	      0.220826244383	      0.079439863892	      0.274658639794
702.408800	   36	  37315.000000000000	  22935.000000000000	   5091.000000000000	   1902.000000000000	    702.691000000000	    702.408800000000	   6359.000000000000	      0.000000000000	      1.626989317637	      0.221975147155	      0.082930019621	      0.277261826902
702.630800	   37	  37324.000000000000	  22920.000000000000	   5081.000000000000	   2057.000000000000	    702.919000000000	    702.630800000000	   6414.000000000000	      0.000000000000	      1.628446771379	      0.221684118674	      0.089746945899	      0.279842931937
702.837400	   38	  37362.000000000000	  22919.000000000000	   5088.000000000000	   2004.000000000000	    703.148000000000	    702.837400000000	   6501.000000000000	      0.000000000000	      1.630175836642	      0.221999214625	      0.087438369911	      0.283651119159
703.072000	   39	  37422.000000000000	  22929.000000000000	   5112.000000000000	   1846.000000000000	    703.359000000000	    703.072000000000	   6590.000000000000	      0.000000000000	      1.632081643334	      0.222949103755	      0.080509398578	      0.287408958088
703.301600	   40	  37480.000000000000	  22934.000000000000	   5136.000000000000	   1825.000000000000	    703.585000000000	    703.301600000000	   6678.000000000000	      0.000000000000	      1.634254818174	      0.223946978286	      0.079576175111	      0.291183395832
703.545200	   41	  37552.000000000000	  22934.000000000000	   5165.000000000000	   1996.000000000000	    703.774000000000	    703.545200000000	   6797.000000000000	      0.000000000000	      1.637394261795	      0.225211476411	      0.087032353711	      0.296372198483
703.770500	   42	  37627.000000000000	  22932.000000000000	   5182.000000000000	   2076.000000000000	    704.041000000000	    703.770500000000	   6944.000000000000	      0.000000000000	      1.640807605093	      0.225972440258	      0.090528519100	      0.302808302808
704.020600	   43	  37743.000000000000	  22936.000000000000	   5246.000000000000	   1912.000000000000	    704.273000000000	    704.020600000000	   7154.000000000000	      0.000000000000	      1.645579002442	      0.228723404255	      0.083362399721	      0.311911405651
704.247700	   44	  37891.000000000000	  22935.000000000000	   5273.000000000000	   1779.000000000000	    704.500000000000	    704.247700000000	   7376.000000000000	      0.000000000000	      1.652103771528	      0.229910616961	      0.077567037279	      0.321604534554
704.498200	   45	  38081.000000000000	  22944.000000000000	   5338.000000000000	   1926.000000000000	    704.707000000000	    704.498200000000	   7700.000000000000	      0.000000000000	      1.659736750349	      0.232653417015	      0.083943514644	      0.335599721060
704.703400	   46	  38299.000000000000	  22941.000000000000	   5400.000000000000	   2097.000000000000	    704.931000000000	    704.703400000000	   8057.000000000000	      0.000000000000	      1.669456431716	      0.235386426049	      0.091408395449	      0.351205265682
704.940200	   47	  38624.000000000000	  22945.000000000000	   5492.000000000000	   1980.000000000000	    705.156000000000	    704.940200000000	   8561.000000000000	      0.000000000000	      1.683329701460	      0.239354979298	      0.086293310089	      0.373109609937
705.137400	   48	  39118.000000000000	  22938.000000000000	   5596.000000000000	   1800.000000000000	    705.385000000000	    705.137400000000	   9231.000000000000	      0.000000000000	      1.705379719243	      0.243961984480	      0.078472403871	      0.402432644520
