 &SRS
 SRSRUN=236464,SRSDAT=2021124,SRSTIM=25111,
 SRSSTN='Bran',SRSPRJ='I06-1   ',SRSEXP='Emulator',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
<MetaDataAtStart>
command=scan fastEnergy 0.0 199.0 1.0 fesData 0 1
date='Wed Feb 24 14:51:10 2021'
beamenergy=3.00092942727
ringcurrent=301.621872813
iddgap=36.38535
iddtrp=-22.426
iddbrp=-22.426
idugap=100.0
idutrp=0.0
idubrp=0.0
pugap=155.004
pgmpitch=88.2676226748
pgmgratpitch=87.5559801511
cff=2.25
grating=400
pgmenergy=694.7855
denergy=694.786
uenergy=694.786
s1xgap=1.497
s1ygap=1.496
m1x=-5.0
m1pitch=-8509.0
m1qg=0.1035
m6x=3.0
m6yaw=-247.0
m6pitch=-10910.0
m6qg=0.0339
m7x=-1.4
m7pitch=6949.0
m7qg=14.5392
d9y=-16.000026
d10y=6.003
d11y=2.9
s6x=1.5147
s6xgap=1499.9
s6y=8.4887
s6ygap=20.068
iamp12_gain=10^7 V/A
magx=0.0
magy=0.0
magz=6.0
scmx=0.0
scmy=-4.0
scmth=3e-05
Tsample_mag=1.9
amp_scm_gain=5.0
amp_XABS_gain=6.0
amp_DDIFF_gain=5.0
m7y=-19.1
</MetaDataAtStart>
 &END
fastEnergy	pIndex	C1	C2	C3	C4	iddenergy	pgmenergy	C5	C6	idio	ifio	ifioft	ifiofb
699.579200	   22	  37707.000000000000	  22331.000000000000	   4635.000000000000	   1869.000000000000	    700.152000000000	    699.579200000000	   5581.000000000000	      0.000000000000	      1.688549549953	      0.207558998701	      0.083695311450	      0.249921633604
699.780500	   23	  37676.000000000000	  22312.000000000000	   4614.000000000000	   1814.000000000000	    700.372000000000	    699.780500000000	   5583.000000000000	      0.000000000000	      1.688598063822	      0.206794550018	      0.081301541771	      0.250224094658
700.013500	   24	  37696.000000000000	  22324.000000000000	   4613.000000000000	   2008.000000000000	    700.597000000000	    700.013500000000	   5586.000000000000	      0.000000000000	      1.688586274861	      0.206638595234	      0.089948037986	      0.250223974198
700.231900	   25	  37724.000000000000	  22345.000000000000	   4641.000000000000	   2096.000000000000	    700.818000000000	    700.231900000000	   5603.000000000000	      0.000000000000	      1.688252405460	      0.207697471470	      0.093801745357	      0.250749608414
700.431500	   26	  37741.000000000000	  22353.000000000000	   4630.000000000000	   1936.000000000000	    701.038000000000	    700.431500000000	   5619.000000000000	      0.000000000000	      1.688408714714	      0.207131033866	      0.086610298394	      0.251375654275
700.628700	   27	  37764.000000000000	  22362.000000000000	   4640.000000000000	   1805.000000000000	    701.263000000000	    700.628700000000	   5603.000000000000	      0.000000000000	      1.688757713979	      0.207494857347	      0.080717288257	      0.250558983991
700.822900	   28	  37779.000000000000	  22366.000000000000	   4641.000000000000	   1916.000000000000	    701.496000000000	    700.822900000000	   5632.000000000000	      0.000000000000	      1.689126352499	      0.207502459090	      0.085665742645	      0.251810784226
701.023400	   29	  37804.000000000000	  22373.000000000000	   4662.000000000000	   2110.000000000000	    701.718000000000	    701.023400000000	   5617.000000000000	      0.000000000000	      1.689715281813	      0.208376167702	      0.094310105931	      0.251061547401
701.214300	   30	  37832.000000000000	  22379.000000000000	   4658.000000000000	   2004.000000000000	    701.943000000000	    701.214300000000	   5651.000000000000	      0.000000000000	      1.690513427767	      0.208141561285	      0.089548237187	      0.252513517137
701.404800	   31	  37877.000000000000	  22386.000000000000	   4654.000000000000	   1819.000000000000	    702.164000000000	    701.404800000000	   5653.000000000000	      0.000000000000	      1.691994996873	      0.207897793264	      0.081256142232	      0.252523898865
701.587600	   32	  37908.000000000000	  22396.000000000000	   4657.000000000000	   1852.000000000000	    702.386000000000	    701.587600000000	   5653.000000000000	      0.000000000000	      1.692623682801	      0.207938917664	      0.082693338096	      0.252411144847
701.791600	   33	  37911.000000000000	  22397.000000000000	   4688.000000000000	   2059.000000000000	    702.611000000000	    701.791600000000	   5689.000000000000	      0.000000000000	      1.692682055632	      0.209313747377	      0.091931955173	      0.254007233112
701.969600	   34	  37917.000000000000	  22400.000000000000	   4706.000000000000	   2070.000000000000	    702.845000000000	    701.969600000000	   5709.000000000000	      0.000000000000	      1.692723214286	      0.210089285714	      0.092410714286	      0.254866071429
702.187200	   35	  37940.000000000000	  22407.000000000000	   4701.000000000000	   1872.000000000000	    703.062000000000	    702.187200000000	   5739.000000000000	      0.000000000000	      1.693220868479	      0.209800508770	      0.083545320659	      0.256125317981
702.390000	   36	  37966.000000000000	  22408.000000000000	   4724.000000000000	   1814.000000000000	    703.282000000000	    702.390000000000	   5784.000000000000	      0.000000000000	      1.694305605141	      0.210817565155	      0.080953230989	      0.258122099250
702.606800	   37	  37980.000000000000	  22406.000000000000	   4717.000000000000	   1988.000000000000	    703.503000000000	    702.606800000000	   5811.000000000000	      0.000000000000	      1.695081674551	      0.210523966795	      0.088726234044	      0.259350174061
702.817500	   38	  38014.000000000000	  22406.000000000000	   4711.000000000000	   2108.000000000000	    703.739000000000	    702.817500000000	   5857.000000000000	      0.000000000000	      1.696599125234	      0.210256181380	      0.094081942337	      0.261403195573
703.054100	   39	  38040.000000000000	  22401.000000000000	   4753.000000000000	   1944.000000000000	    703.968000000000	    703.054100000000	   5892.000000000000	      0.000000000000	      1.698138475961	      0.212178027767	      0.086781840096	      0.263023972144
703.274900	   40	  38116.000000000000	  22412.000000000000	   4742.000000000000	   1794.000000000000	    704.194000000000	    703.274900000000	   5966.000000000000	      0.000000000000	      1.700696055684	      0.211583080493	      0.080046403712	      0.266196680350
703.516000	   41	  38183.000000000000	  22416.000000000000	   4764.000000000000	   1894.000000000000	    704.413000000000	    703.516000000000	   6047.000000000000	      0.000000000000	      1.703381513205	      0.212526766595	      0.084493219129	      0.269762669522
703.740700	   42	  38257.000000000000	  22419.000000000000	   4803.000000000000	   2088.000000000000	    704.635000000000	    703.740700000000	   6135.000000000000	      0.000000000000	      1.706454346759	      0.214237923190	      0.093135287033	      0.273651813194
704.001700	   43	  38353.000000000000	  22428.000000000000	   4804.000000000000	   2028.000000000000	    704.858000000000	    704.001700000000	   6230.000000000000	      0.000000000000	      1.710049937578	      0.214196540039	      0.090422685928	      0.277777777778
704.216900	   44	  38473.000000000000	  22434.000000000000	   4842.000000000000	   1824.000000000000	    705.080000000000	    704.216900000000	   6346.000000000000	      0.000000000000	      1.714941606490	      0.215833110457	      0.081305161808	      0.282874208790
704.463700	   45	  38611.000000000000	  22434.000000000000	   4868.000000000000	   1851.000000000000	    705.313000000000	    704.463700000000	   6539.000000000000	      0.000000000000	      1.721092983864	      0.216992065615	      0.082508692164	      0.291477222074
704.678200	   46	  38808.000000000000	  22440.000000000000	   4926.000000000000	   2038.000000000000	    705.543000000000	    704.678200000000	   6731.000000000000	      0.000000000000	      1.729411764706	      0.219518716578	      0.090819964349	      0.299955436720
704.916100	   47	  39059.000000000000	  22441.000000000000	   4992.000000000000	   2074.000000000000	    705.757000000000	    704.916100000000	   7021.000000000000	      0.000000000000	      1.740519584689	      0.222449979947	      0.092420123880	      0.312864845595
705.115800	   48	  39429.000000000000	  22451.000000000000	   5057.000000000000	   1881.000000000000	    705.980000000000	    705.115800000000	   7364.000000000000	      0.000000000000	      1.756224667053	      0.225246091488	      0.083782459579	      0.328003206984
705.348800	   49	  40111.000000000000	  22457.000000000000	   5215.000000000000	   1800.000000000000	    706.193000000000	    705.348800000000	   7878.000000000000	      0.000000000000	      1.786124593668	      0.232221579018	      0.080153181636	      0.350803758294
705.538400	   50	  41385.000000000000	  22466.000000000000	   5393.000000000000	   1953.000000000000	    706.423000000000	    705.538400000000	   8663.000000000000	      0.000000000000	      1.842116976765	      0.240051633580	      0.086931362948	      0.385604914092
705.745200	   51	  43226.000000000000	  22462.000000000000	   5745.000000000000	   2108.000000000000	    706.651000000000	    705.745200000000	   9974.000000000000	      0.000000000000	      1.924405662897	      0.255765292494	      0.093847386698	      0.444038821120
705.927800	   52	  47057.000000000000	  22465.000000000000	   6513.000000000000	   1975.000000000000	    706.875000000000	    705.927800000000	  12115.000000000000	      0.000000000000	      2.094680614289	      0.289917649677	      0.087914533719	      0.539283329624
706.138000	   53	  53902.000000000000	  22479.000000000000	   7631.000000000000	   1806.000000000000	    707.100000000000	    706.138000000000	  14725.000000000000	      0.000000000000	      2.397882468081	      0.339472396459	      0.080341652209	      0.655055829886
706.317100	   54	  60612.000000000000	  22478.000000000000	   8591.000000000000	   1884.000000000000	    707.328000000000	    706.317100000000	  16749.000000000000	      0.000000000000	      2.696503247620	      0.382195924904	      0.083815286057	      0.745128570157
706.515500	   55	  66715.000000000000	  22469.000000000000	   9326.000000000000	   2075.000000000000	    707.560000000000	    706.515500000000	  17996.000000000000	      0.000000000000	      2.969202011661	      0.415060750367	      0.092349459255	      0.800925719881
706.695400	   56	  72445.000000000000	  22469.000000000000	   9849.000000000000	   2053.000000000000	    707.777000000000	    706.695400000000	  18650.000000000000	      0.000000000000	      3.224220036495	      0.438337264676	      0.091370332458	      0.830032489207
706.902900	   57	  78252.000000000000	  22461.000000000000	  10172.000000000000	   1857.000000000000	    708.005000000000	    706.902900000000	  18787.000000000000	      0.000000000000	      3.483905436089	      0.452873870264	      0.082676639508	      0.836427585593
707.081900	   58	  83544.000000000000	  22461.000000000000	  10395.000000000000	   1829.000000000000	    708.231000000000	    707.081900000000	  18602.000000000000	      0.000000000000	      3.719513823962	      0.462802190463	      0.081430034282	      0.828191086773
707.283300	   59	  86933.000000000000	  22444.000000000000	  10514.000000000000	   2028.000000000000	    708.453000000000	    707.283300000000	  18030.000000000000	      0.000000000000	      3.873329174835	      0.468454820888	      0.090358224915	      0.803332739262
707.490200	   60	  89240.000000000000	  22444.000000000000	  10488.000000000000	   2104.000000000000	    708.668000000000	    707.490200000000	  17313.000000000000	      0.000000000000	      3.976118338977	      0.467296382107	      0.093744430583	      0.771386562110
707.700700	   61	  91552.000000000000	  22461.000000000000	  10434.000000000000	   1916.000000000000	    708.900000000000	    707.700700000000	  16559.000000000000	      0.000000000000	      4.076042918837	      0.464538533458	      0.085303414808	      0.737233426829
707.917200	   62	  90505.000000000000	  22467.000000000000	  10365.000000000000	   1828.000000000000	    709.126000000000	    707.917200000000	  15877.000000000000	      0.000000000000	      4.028352695064	      0.461343303512	      0.081363777985	      0.706680909779
708.148900	   63	  86888.000000000000	  22476.000000000000	  10309.000000000000	   1932.000000000000	    709.354000000000	    708.148900000000	  15767.000000000000	      0.000000000000	      3.865812422139	      0.458667022602	      0.085958355579	      0.701503826304
708.364000	   64	  86054.000000000000	  22472.000000000000	  10305.000000000000	   2074.000000000000	    709.578000000000	    708.364000000000	  15811.000000000000	      0.000000000000	      3.829387682449	      0.458570665717	      0.092292630829	      0.703586685653
708.597100	   65	  88467.000000000000	  22480.000000000000	  10399.000000000000	   2002.000000000000	    709.797000000000	    708.597100000000	  15944.000000000000	      0.000000000000	      3.935364768683	      0.462588967972	      0.089056939502	      0.709252669039
708.801500	   66	  92816.000000000000	  22478.000000000000	  10429.000000000000	   1857.000000000000	    710.017000000000	    708.801500000000	  15990.000000000000	      0.000000000000	      4.129192988700	      0.463964765549	      0.082614111576	      0.711362220838
709.039600	   67	  96995.000000000000	  22481.000000000000	  10417.000000000000	   1864.000000000000	    710.231000000000	    709.039600000000	  15879.000000000000	      0.000000000000	      4.314532271696	      0.463369067212	      0.082914461100	      0.706329789600
709.239000	   68	  98598.000000000000	  22479.000000000000	  10305.000000000000	   2025.000000000000	    710.463000000000	    709.239000000000	  15551.000000000000	      0.000000000000	      4.386227145336	      0.458427866008	      0.090084078473	      0.691801236710
709.472100	   69	  96974.000000000000	  22481.000000000000	  10147.000000000000	   2079.000000000000	    710.705000000000	    709.472100000000	  15034.000000000000	      0.000000000000	      4.313598149549	      0.451358925315	      0.092478092612	      0.668742493661
709.669700	   70	  91990.000000000000	  22470.000000000000	   9874.000000000000	   1907.000000000000	    710.914000000000	    709.669700000000	  14315.000000000000	      0.000000000000	      4.093902981753	      0.439430351580	      0.084868713841	      0.637071651090
709.886900	   71	  85419.000000000000	  22475.000000000000	   9581.000000000000	   1809.000000000000	    711.142000000000	    709.886900000000	  13649.000000000000	      0.000000000000	      3.800622914349	      0.426295884316	      0.080489432703	      0.607296996663
710.070000	   72	  79650.000000000000	  22467.000000000000	   9324.000000000000	   1963.000000000000	    711.362000000000	    710.070000000000	  13056.000000000000	      0.000000000000	      3.545199626118	      0.415008679396	      0.087372590911	      0.581118974496
710.283700	   73	  74959.000000000000	  22452.000000000000	   9110.000000000000	   2116.000000000000	    711.590000000000	    710.283700000000	  12546.000000000000	      0.000000000000	      3.338633529307	      0.405754498486	      0.094245501514	      0.558792089792
710.470700	   74	  71413.000000000000	  22451.000000000000	   8966.000000000000	   1978.000000000000	    711.810000000000	    710.470700000000	  12137.000000000000	      0.000000000000	      3.180838270010	      0.399358603180	      0.088102979823	      0.540599527861
710.663600	   75	  68608.000000000000	  22453.000000000000	   8822.000000000000	   1808.000000000000	    712.034000000000	    710.663600000000	  11821.000000000000	      0.000000000000	      3.055627310382	      0.392909633457	      0.080523760745	      0.526477530842
710.841400	   76	  66195.000000000000	  22429.000000000000	   8706.000000000000	   1857.000000000000	    712.254000000000	    710.841400000000	  11544.000000000000	      0.000000000000	      2.951313032235	      0.388158188060	      0.082794596282	      0.514690802087
