 &SRS
 SRSRUN=236469,SRSDAT=2021124,SRSTIM=25928,
 SRSSTN='Bran',SRSPRJ='I06-1   ',SRSEXP='Emulator',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
<MetaDataAtStart>
command=scan fastEnergy 0.0 199.0 1.0 fesData 0 1
date='Wed Feb 24 14:59:27 2021'
beamenergy=3.00093294276
ringcurrent=297.759336813
iddgap=36.3853
iddtrp=-22.426
iddbrp=-22.426
idugap=100.0
idutrp=0.0
idubrp=0.0
pugap=155.004
pgmpitch=88.2676254732
pgmgratpitch=87.5558729387
cff=2.25
grating=400
pgmenergy=694.6743
denergy=694.674
uenergy=694.674
s1xgap=1.497
s1ygap=1.496
m1x=-5.0
m1pitch=-8509.0
m1qg=0.1212
m6x=3.0
m6yaw=-247.0
m6pitch=-10910.0
m6qg=0.0351
m7x=-1.4
m7pitch=6949.0
m7qg=9.9735
d9y=-16.000026
d10y=6.003
d11y=2.9
s6x=1.5147
s6xgap=1499.9
s6y=8.4885
s6ygap=20.068
iamp12_gain=10^7 V/A
magx=0.0
magy=0.0
magz=6.0
scmx=0.0
scmy=-4.0
scmth=3e-05
Tsample_mag=1.9
amp_scm_gain=5.0
amp_XABS_gain=6.0
amp_DDIFF_gain=5.0
m7y=-19.1
</MetaDataAtStart>
 &END
fastEnergy	pIndex	C1	C2	C3	C4	iddenergy	pgmenergy	C5	C6	idio	ifio	ifioft	ifiofb
694.947200	    0	  32087.000000000000	  21155.000000000000	   4975.000000000000	   1944.000000000000	    695.620000000000	    694.947200000000	   5982.000000000000	      0.000000000000	      1.516757267785	      0.235168990782	      0.091893169463	      0.282770030726
695.145800	    1	  32506.000000000000	  21368.000000000000	   4992.000000000000	   1828.000000000000	    695.620000000000	    695.145800000000	   6015.000000000000	      0.000000000000	      1.521246724073	      0.233620366904	      0.085548483714	      0.281495694496
695.372200	    2	  32781.000000000000	  21513.000000000000	   4986.000000000000	   1867.000000000000	    695.715000000000	    695.372200000000	   6052.000000000000	      0.000000000000	      1.523776321294	      0.231766838656	      0.086784734812	      0.281318272672
695.562600	    3	  32798.000000000000	  21519.000000000000	   4995.000000000000	   2027.000000000000	    695.912000000000	    695.562600000000	   6028.000000000000	      0.000000000000	      1.524141456387	      0.232120451694	      0.094195826944	      0.280124541103
695.767600	    4	  32822.000000000000	  21538.000000000000	   4987.000000000000	   2021.000000000000	    696.125000000000	    695.767600000000	   6048.000000000000	      0.000000000000	      1.523911226669	      0.231544247377	      0.093834153589	      0.280806017272
695.964200	    5	  32849.000000000000	  21557.000000000000	   4988.000000000000	   1876.000000000000	    696.346000000000	    695.964200000000	   6038.000000000000	      0.000000000000	      1.523820568725	      0.231386556571	      0.087025096256	      0.280094632834
696.165400	    6	  32869.000000000000	  21575.000000000000	   4998.000000000000	   1810.000000000000	    696.571000000000	    696.165400000000	   6023.000000000000	      0.000000000000	      1.523476245655	      0.231657010429	      0.083893395133	      0.279165701043
696.355200	    7	  32895.000000000000	  21588.000000000000	   5003.000000000000	   1949.000000000000	    696.784000000000	    696.355200000000	   6042.000000000000	      0.000000000000	      1.523763201779	      0.231749119881	      0.090281637947	      0.279877709839
696.567700	    8	  32902.000000000000	  21602.000000000000	   5017.000000000000	   2077.000000000000	    697.003000000000	    696.567700000000	   6033.000000000000	      0.000000000000	      1.523099712990	      0.232247014165	      0.096148504768	      0.279279696324
696.752700	    9	  32891.000000000000	  21595.000000000000	   4985.000000000000	   1958.000000000000	    697.234000000000	    696.752700000000	   6017.000000000000	      0.000000000000	      1.523084047233	      0.230840472332	      0.090669136374	      0.278629312341
696.969500	   10	  32892.000000000000	  21606.000000000000	   5004.000000000000	   1802.000000000000	    697.456000000000	    696.969500000000	   6030.000000000000	      0.000000000000	      1.522354901416	      0.231602332685	      0.083402758493	      0.279089141905
697.163800	   11	  32900.000000000000	  21616.000000000000	   4995.000000000000	   1860.000000000000	    697.685000000000	    697.163800000000	   6031.000000000000	      0.000000000000	      1.522020725389	      0.231078830496	      0.086047372317	      0.279006291636
697.386400	   12	  32899.000000000000	  21620.000000000000	   5018.000000000000	   2063.000000000000	    697.898000000000	    697.386400000000	   6016.000000000000	      0.000000000000	      1.521692876966	      0.232099907493	      0.095420906568	      0.278260869565
697.600200	   13	  32907.000000000000	  21625.000000000000	   5015.000000000000	   2036.000000000000	    698.127000000000	    697.600200000000	   6033.000000000000	      0.000000000000	      1.521710982659	      0.231907514451	      0.094150289017	      0.278982658960
697.837300	   14	  32901.000000000000	  21628.000000000000	   4995.000000000000	   1829.000000000000	    698.356000000000	    697.837300000000	   6024.000000000000	      0.000000000000	      1.521222489366	      0.230950619567	      0.084566302941	      0.278527834289
698.052800	   15	  32927.000000000000	  21645.000000000000	   5007.000000000000	   1811.000000000000	    698.577000000000	    698.052800000000	   6020.000000000000	      0.000000000000	      1.521228921229	      0.231323631324	      0.083668283668	      0.278124278124
698.302500	   16	  32938.000000000000	  21649.000000000000	   5020.000000000000	   1998.000000000000	    698.807000000000	    698.302500000000	   6012.000000000000	      0.000000000000	      1.521455956395	      0.231881380202	      0.092290636981	      0.277703358123
698.516800	   17	  32947.000000000000	  21663.000000000000	   5033.000000000000	   2091.000000000000	    699.034000000000	    698.516800000000	   6032.000000000000	      0.000000000000	      1.520888150302	      0.232331625352	      0.096524027143	      0.278447121821
698.753000	   18	  32941.000000000000	  21663.000000000000	   5006.000000000000	   1888.000000000000	    699.255000000000	    698.753000000000	   6041.000000000000	      0.000000000000	      1.520611180354	      0.231085260583	      0.087153210543	      0.278862576744
698.970100	   19	  32963.000000000000	  21673.000000000000	   5014.000000000000	   1787.000000000000	    699.475000000000	    698.970100000000	   6027.000000000000	      0.000000000000	      1.520924652794	      0.231347759886	      0.082452821483	      0.278087943524
699.203100	   20	  32977.000000000000	  21680.000000000000	   5035.000000000000	   1917.000000000000	    699.690000000000	    699.203100000000	   6027.000000000000	      0.000000000000	      1.521079335793	      0.232241697417	      0.088422509225	      0.277998154982
699.410300	   21	  32984.000000000000	  21683.000000000000	   5037.000000000000	   2093.000000000000	    699.913000000000	    699.410300000000	   6034.000000000000	      0.000000000000	      1.521191717013	      0.232301803256	      0.096527233316	      0.278282525481
699.632900	   22	  33006.000000000000	  21692.000000000000	   5044.000000000000	   1994.000000000000	    700.132000000000	    699.632900000000	   6036.000000000000	      0.000000000000	      1.521574774110	      0.232528120966	      0.091923289692	      0.278259266089
699.860800	   23	  33027.000000000000	  21701.000000000000	   5033.000000000000	   1808.000000000000	    700.362000000000	    699.860800000000	   6048.000000000000	      0.000000000000	      1.521911432653	      0.231924796092	      0.083314132989	      0.278696834247
