 &SRS
 SRSRUN=236470,SRSDAT=2021124,SRSTIM=3125,
 SRSSTN='Bran',SRSPRJ='I06-1   ',SRSEXP='Emulator',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
<MetaDataAtStart>
command=scan fastEnergy 0.0 199.0 1.0 fesData 0 1
date='Wed Feb 24 15:01:25 2021'
beamenergy=3.00086344421
ringcurrent=301.657244813
iddgap=36.2785
iddtrp=22.4135
iddbrp=22.4135
idugap=100.0
idutrp=0.0
idubrp=0.0
pugap=155.004
pgmpitch=88.2676142796
pgmgratpitch=87.5559835937
cff=2.25
grating=400
pgmenergy=694.7942
denergy=694.794
uenergy=694.794
s1xgap=1.497
s1ygap=1.496
m1x=-5.0
m1pitch=-8509.0
m1qg=0.0267
m6x=3.0
m6yaw=-247.0
m6pitch=-10910.0
m6qg=0.0174
m7x=-1.4
m7pitch=6949.0
m7qg=6.6021
d9y=-16.000026
d10y=6.003
d11y=2.9
s6x=1.5147
s6xgap=1500.0
s6y=8.4885
s6ygap=20.068
iamp12_gain=10^7 V/A
magx=0.0
magy=0.0
magz=6.0
scmx=0.0
scmy=-4.0
scmth=3e-05
Tsample_mag=1.9
amp_scm_gain=5.0
amp_XABS_gain=6.0
amp_DDIFF_gain=5.0
m7y=-19.1
</MetaDataAtStart>
 &END
fastEnergy	pIndex	C1	C2	C3	C4	iddenergy	pgmenergy	C5	C6	idio	ifio	ifioft	ifiofb
694.932900	    0	  33264.000000000000	  22497.000000000000	   5267.000000000000	   1908.000000000000	    694.958000000000	    694.932900000000	   6375.000000000000	      0.000000000000	      1.478597146286	      0.234120104903	      0.084811308174	      0.283371116149
695.138600	    1	  33598.000000000000	  22666.000000000000	   5326.000000000000	   1821.000000000000	    694.958000000000	    695.138600000000	   6407.000000000000	      0.000000000000	      1.482308303185	      0.234977499338	      0.080340598253	      0.282670078532
695.370100	    2	  33895.000000000000	  22819.000000000000	   5328.000000000000	   1935.000000000000	    695.047000000000	    695.370100000000	   6433.000000000000	      0.000000000000	      1.485384986196	      0.233489635830	      0.084797756256	      0.281914194312
695.553400	    3	  33890.000000000000	  22820.000000000000	   5340.000000000000	   2074.000000000000	    695.257000000000	    695.553400000000	   6416.000000000000	      0.000000000000	      1.485100788782	      0.234005258545	      0.090885188431	      0.281156879930
695.762400	    4	  33912.000000000000	  22830.000000000000	   5345.000000000000	   1995.000000000000	    695.473000000000	    695.762400000000	   6420.000000000000	      0.000000000000	      1.485413929041	      0.234121769601	      0.087385019711	      0.281208935611
695.951900	    5	  33932.000000000000	  22853.000000000000	   5335.000000000000	   1834.000000000000	    695.677000000000	    695.951900000000	   6429.000000000000	      0.000000000000	      1.484794118934	      0.233448562552	      0.080252045683	      0.281319739203
696.154700	    6	  33954.000000000000	  22865.000000000000	   5349.000000000000	   1856.000000000000	    695.889000000000	    696.154700000000	   6428.000000000000	      0.000000000000	      1.484977039143	      0.233938333698	      0.081172097092	      0.281128362126
696.347500	    7	  33963.000000000000	  22881.000000000000	   5344.000000000000	   2024.000000000000	    696.124000000000	    696.347500000000	   6405.000000000000	      0.000000000000	      1.484331978497	      0.233556225689	      0.088457672305	      0.279926576636
696.558000	    8	  33983.000000000000	  22894.000000000000	   5325.000000000000	   2061.000000000000	    696.360000000000	    696.558000000000	   6423.000000000000	      0.000000000000	      1.484362715122	      0.232593692671	      0.090023586966	      0.280553856906
696.748000	    9	  34001.000000000000	  22907.000000000000	   5340.000000000000	   1903.000000000000	    696.576000000000	    696.748000000000	   6424.000000000000	      0.000000000000	      1.484306107303	      0.233116514603	      0.083075042563	      0.280438293971
696.958800	   10	  33997.000000000000	  22906.000000000000	   5345.000000000000	   1815.000000000000	    696.784000000000	    696.958800000000	   6427.000000000000	      0.000000000000	      1.484196280451	      0.233344975116	      0.079236881167	      0.280581507029
697.149500	   11	  34020.000000000000	  22917.000000000000	   5344.000000000000	   1938.000000000000	    697.017000000000	    697.149500000000	   6425.000000000000	      0.000000000000	      1.484487498364	      0.233189335428	      0.084566042676	      0.280359558406
697.374200	   12	  34018.000000000000	  22919.000000000000	   5356.000000000000	   2068.000000000000	    697.253000000000	    697.374200000000	   6441.000000000000	      0.000000000000	      1.484270692439	      0.233692569484	      0.090230812863	      0.281033203892
697.586900	   13	  34033.000000000000	  22930.000000000000	   5370.000000000000	   1974.000000000000	    697.484000000000	    697.586900000000	   6424.000000000000	      0.000000000000	      1.484212821631	      0.234191016136	      0.086088094200	      0.280156999564
697.824000	   14	  34044.000000000000	  22931.000000000000	   5357.000000000000	   1826.000000000000	    697.714000000000	    697.824000000000	   6419.000000000000	      0.000000000000	      1.484627796433	      0.233613885134	      0.079630194933	      0.279926736732
698.043100	   15	  34032.000000000000	  22920.000000000000	   5367.000000000000	   1860.000000000000	    697.932000000000	    698.043100000000	   6417.000000000000	      0.000000000000	      1.484816753927	      0.234162303665	      0.081151832461	      0.279973821990
