 &SRS
 SRSRUN=236466,SRSDAT=2021124,SRSTIM=25434,
 SRSSTN='Bran',SRSPRJ='I06-1   ',SRSEXP='Emulator',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
<MetaDataAtStart>
command=scan fastEnergy 0.0 199.0 1.0 fesData 0 1
date='Wed Feb 24 14:54:33 2021'
beamenergy=3.00088940476
ringcurrent=300.038468813
iddgap=36.27835
iddtrp=22.4135
iddbrp=22.4135
idugap=100.0
idutrp=0.0
idubrp=0.0
pugap=155.004
pgmpitch=88.2676385324
pgmgratpitch=87.5559762167
cff=2.25
grating=400
pgmenergy=694.7994
denergy=694.799
uenergy=694.799
s1xgap=1.497
s1ygap=1.496
m1x=-5.0
m1pitch=-8509.0
m1qg=0.0168
m6x=3.0
m6yaw=-247.0
m6pitch=-10910.0
m6qg=0.0162
m7x=-1.4
m7pitch=6949.0
m7qg=14.6904
d9y=-16.000026
d10y=6.003
d11y=2.9
s6x=1.5147
s6xgap=1500.0
s6y=8.4887
s6ygap=20.068
iamp12_gain=10^7 V/A
magx=0.0
magy=0.0
magz=6.0
scmx=0.0
scmy=-4.0
scmth=3e-05
Tsample_mag=1.9
amp_scm_gain=5.0
amp_XABS_gain=6.0
amp_DDIFF_gain=5.0
m7y=-19.1
</MetaDataAtStart>
 &END
fastEnergy	pIndex	C1	C2	C3	C4	iddenergy	pgmenergy	C5	C6	idio	ifio	ifioft	ifiofb
694.916500	    0	  36651.000000000000	  22523.000000000000	   4827.000000000000	   2092.000000000000	    694.954000000000	    694.916500000000	   5841.000000000000	      0.000000000000	      1.627269901878	      0.214314256538	      0.092882830884	      0.259334902100
695.121100	    1	  37046.000000000000	  22713.000000000000	   4846.000000000000	   1918.000000000000	    694.954000000000	    695.121100000000	   5888.000000000000	      0.000000000000	      1.631048298331	      0.213357988817	      0.084445031480	      0.259234799454
695.337000	    2	  37370.000000000000	  22847.000000000000	   4845.000000000000	   1804.000000000000	    695.045000000000	    695.337000000000	   5907.000000000000	      0.000000000000	      1.635663325601	      0.212062852891	      0.078960038517	      0.258545979779
695.532300	    3	  37416.000000000000	  22851.000000000000	   4858.000000000000	   1893.000000000000	    695.247000000000	    695.532300000000	   5899.000000000000	      0.000000000000	      1.637390048576	      0.212594634808	      0.082841013522	      0.258150627981
695.742400	    4	  37457.000000000000	  22880.000000000000	   4884.000000000000	   2074.000000000000	    695.457000000000	    695.742400000000	   5903.000000000000	      0.000000000000	      1.637106643357	      0.213461538462	      0.090646853147	      0.257998251748
695.930400	    5	  37538.000000000000	  22899.000000000000	   4854.000000000000	   2007.000000000000	    695.685000000000	    695.930400000000	   5917.000000000000	      0.000000000000	      1.639285558321	      0.211974322023	      0.087645748723	      0.258395563125
696.137200	    6	  37697.000000000000	  22909.000000000000	   4878.000000000000	   1823.000000000000	    695.901000000000	    696.137200000000	   5882.000000000000	      0.000000000000	      1.645510498058	      0.212929416387	      0.079575712602	      0.256754987123
696.327400	    7	  37830.000000000000	  22929.000000000000	   4859.000000000000	   1835.000000000000	    696.124000000000	    696.327400000000	   5917.000000000000	      0.000000000000	      1.649875703258	      0.211915042086	      0.080029656767	      0.258057481792
696.535400	    8	  37832.000000000000	  22927.000000000000	   4872.000000000000	   2019.000000000000	    696.342000000000	    696.535400000000	   5906.000000000000	      0.000000000000	      1.650106860906	      0.212500545209	      0.088062110176	      0.257600209360
696.728900	    9	  37895.000000000000	  22935.000000000000	   4883.000000000000	   2073.000000000000	    696.566000000000	    696.728900000000	   5882.000000000000	      0.000000000000	      1.652278177458	      0.212906038805	      0.090385873120	      0.256463919773
696.941200	   10	  37934.000000000000	  22940.000000000000	   4884.000000000000	   1886.000000000000	    696.801000000000	    696.941200000000	   5886.000000000000	      0.000000000000	      1.653618134263	      0.212903225806	      0.082214472537	      0.256582388840
697.134400	   11	  37929.000000000000	  22932.000000000000	   4872.000000000000	   1799.000000000000	    697.023000000000	    697.134400000000	   5876.000000000000	      0.000000000000	      1.653976975406	      0.212454212454	      0.078449328449	      0.256235827664
697.350500	   12	  37928.000000000000	  22941.000000000000	   4892.000000000000	   1936.000000000000	    697.251000000000	    697.350500000000	   5880.000000000000	      0.000000000000	      1.653284512445	      0.213242665969	      0.084390392747	      0.256309663920
697.566700	   13	  37942.000000000000	  22954.000000000000	   4881.000000000000	   2064.000000000000	    697.465000000000	    697.566700000000	   5899.000000000000	      0.000000000000	      1.652958090093	      0.212642676658	      0.089918968372	      0.256992245360
697.803800	   14	  37922.000000000000	  22952.000000000000	   4903.000000000000	   1980.000000000000	    697.704000000000	    697.803800000000	   5900.000000000000	      0.000000000000	      1.652230742419	      0.213619728128	      0.086266991983	      0.257058208435
698.030500	   15	  37917.000000000000	  22961.000000000000	   4884.000000000000	   1819.000000000000	    697.930000000000	    698.030500000000	   5887.000000000000	      0.000000000000	      1.651365358652	      0.212708505727	      0.079221288271	      0.256391272157
698.265900	   16	  37901.000000000000	  22967.000000000000	   4895.000000000000	   1845.000000000000	    698.142000000000	    698.265900000000	   5916.000000000000	      0.000000000000	      1.650237296991	      0.213131884878	      0.080332651195	      0.257586972613
698.478100	   17	  37903.000000000000	  22982.000000000000	   4893.000000000000	   2036.000000000000	    698.359000000000	    698.478100000000	   5876.000000000000	      0.000000000000	      1.649247236968	      0.212905752328	      0.088591071273	      0.255678356975
698.723000	   18	  37879.000000000000	  22976.000000000000	   4883.000000000000	   2072.000000000000	    698.597000000000	    698.723000000000	   5921.000000000000	      0.000000000000	      1.648633356546	      0.212526114206	      0.090181058496	      0.257703690808
698.934000	   19	  37889.000000000000	  22980.000000000000	   4881.000000000000	   1883.000000000000	    698.820000000000	    698.934000000000	   5883.000000000000	      0.000000000000	      1.648781549173	      0.212402088773	      0.081940818103	      0.256005221932
699.166500	   20	  37885.000000000000	  22978.000000000000	   4888.000000000000	   1796.000000000000	    699.066000000000	    699.166500000000	   5913.000000000000	      0.000000000000	      1.648750979197	      0.212725215423	      0.078161719906	      0.257333101227
699.375200	   21	  37923.000000000000	  22997.000000000000	   4903.000000000000	   1933.000000000000	    699.289000000000	    699.375200000000	   5904.000000000000	      0.000000000000	      1.649041179284	      0.213201721964	      0.084054441884	      0.256729138583
699.603900	   22	  37925.000000000000	  22991.000000000000	   4905.000000000000	   2083.000000000000	    699.513000000000	    699.603900000000	   5924.000000000000	      0.000000000000	      1.649558522900	      0.213344352138	      0.090600669827	      0.257666043234
699.802600	   23	  37929.000000000000	  23000.000000000000	   4912.000000000000	   1962.000000000000	    699.734000000000	    699.802600000000	   5943.000000000000	      0.000000000000	      1.649086956522	      0.213565217391	      0.085304347826	      0.258391304348
700.026500	   24	  37949.000000000000	  23013.000000000000	   4919.000000000000	   1808.000000000000	    699.958000000000	    700.026500000000	   5946.000000000000	      0.000000000000	      1.649024464433	      0.213748750706	      0.078564289749	      0.258375700691
700.247400	   25	  37961.000000000000	  23013.000000000000	   4917.000000000000	   1851.000000000000	    700.184000000000	    700.247400000000	   5942.000000000000	      0.000000000000	      1.649545908834	      0.213661843306	      0.080432798853	      0.258201885891
700.452200	   26	  38003.000000000000	  23035.000000000000	   4942.000000000000	   2059.000000000000	    700.403000000000	    700.452200000000	   5962.000000000000	      0.000000000000	      1.649793792056	      0.214543086607	      0.089385717387	      0.258823529412
700.641200	   27	  37998.000000000000	  23026.000000000000	   4940.000000000000	   2051.000000000000	    700.625000000000	    700.641200000000	   6003.000000000000	      0.000000000000	      1.650221488752	      0.214540085121	      0.089073221576	      0.260705289673
700.834900	   28	  38023.000000000000	  23032.000000000000	   4928.000000000000	   1850.000000000000	    700.854000000000	    700.834900000000	   5979.000000000000	      0.000000000000	      1.650877040639	      0.213963181660	      0.080323028829	      0.259595345606
701.034900	   29	  38028.000000000000	  23034.000000000000	   4951.000000000000	   1808.000000000000	    701.078000000000	    701.034900000000	   6000.000000000000	      0.000000000000	      1.650950768429	      0.214943127551	      0.078492663020	      0.260484501172
701.226300	   30	  38067.000000000000	  23044.000000000000	   4966.000000000000	   1988.000000000000	    701.303000000000	    701.226300000000	   6034.000000000000	      0.000000000000	      1.651926748828	      0.215500781114	      0.086269744836	      0.261846901580
701.415700	   31	  38096.000000000000	  23047.000000000000	   4951.000000000000	   2093.000000000000	    701.532000000000	    701.415700000000	   6078.000000000000	      0.000000000000	      1.652970017790	      0.214821885712	      0.090814422701	      0.263721959474
701.599100	   32	  38104.000000000000	  23044.000000000000	   4961.000000000000	   1928.000000000000	    701.772000000000	    701.599100000000	   6073.000000000000	      0.000000000000	      1.653532372852	      0.215283804895	      0.083666030203	      0.263539316091
701.801600	   33	  38103.000000000000	  23044.000000000000	   4996.000000000000	   1781.000000000000	    701.993000000000	    701.801600000000	   6123.000000000000	      0.000000000000	      1.653488977608	      0.216802638431	      0.077286929353	      0.265709078285
701.993400	   34	  38160.000000000000	  23052.000000000000	   4987.000000000000	   1891.000000000000	    702.211000000000	    701.993400000000	   6176.000000000000	      0.000000000000	      1.655387818844	      0.216336977269	      0.082031927815	      0.267916015964
702.205900	   35	  38183.000000000000	  23054.000000000000	   5000.000000000000	   2099.000000000000	    702.436000000000	    702.205900000000	   6230.000000000000	      0.000000000000	      1.656241866921	      0.216882102889	      0.091047106793	      0.270235100200
702.403500	   36	  38222.000000000000	  23065.000000000000	   5018.000000000000	   2024.000000000000	    702.660000000000	    702.403500000000	   6268.000000000000	      0.000000000000	      1.657142857143	      0.217559072187	      0.087752005203	      0.271753739432
702.628000	   37	  38215.000000000000	  23042.000000000000	   5028.000000000000	   1808.000000000000	    702.887000000000	    702.628000000000	   6312.000000000000	      0.000000000000	      1.658493186355	      0.218210224807	      0.078465410989	      0.273934554292
702.840900	   38	  38272.000000000000	  23058.000000000000	   5034.000000000000	   1845.000000000000	    703.120000000000	    702.840900000000	   6391.000000000000	      0.000000000000	      1.659814381126	      0.218319021598	      0.080015612802	      0.277170613236
703.081100	   39	  38309.000000000000	  23060.000000000000	   5046.000000000000	   2029.000000000000	    703.353000000000	    703.081100000000	   6501.000000000000	      0.000000000000	      1.661274934952	      0.218820468343	      0.087987857762	      0.281916738942
703.298300	   40	  38388.000000000000	  23058.000000000000	   5070.000000000000	   2061.000000000000	    703.563000000000	    703.298300000000	   6618.000000000000	      0.000000000000	      1.664845173042	      0.219880301848	      0.089383294301	      0.287015352589
