 &SRS
 SRSRUN=236465,SRSDAT=2021124,SRSTIM=25234,
 SRSSTN='Bran',SRSPRJ='I06-1   ',SRSEXP='Emulator',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
<MetaDataAtStart>
command=scan fastEnergy 0.0 199.0 1.0 fesData 0 1
date='Wed Feb 24 14:52:34 2021'
beamenergy=3.00088048082
ringcurrent=300.955402813
iddgap=36.38535
iddtrp=-22.426
iddbrp=-22.426
idugap=100.0
idutrp=0.0
idubrp=0.0
pugap=155.004
pgmpitch=88.2676105484
pgmgratpitch=87.5558557257
cff=2.25
grating=400
pgmenergy=694.6659
denergy=694.666
uenergy=694.666
s1xgap=1.497
s1ygap=1.496
m1x=-5.0
m1pitch=-8509.0
m1qg=0.0765
m6x=3.0
m6yaw=-247.0
m6pitch=-10910.0
m6qg=0.0234
m7x=-1.4
m7pitch=6949.0
m7qg=7.3758
d9y=-16.000026
d10y=6.003
d11y=2.9
s6x=1.5147
s6xgap=1500.0
s6y=8.4887
s6ygap=20.068
iamp12_gain=10^7 V/A
magx=0.0
magy=0.0
magz=6.0
scmx=0.0
scmy=-4.0
scmth=3e-05
Tsample_mag=1.9
amp_scm_gain=5.0
amp_XABS_gain=6.0
amp_DDIFF_gain=5.0
m7y=-19.1
</MetaDataAtStart>
 &END
fastEnergy	pIndex	C1	C2	C3	C4	iddenergy	pgmenergy	C5	C6	idio	ifio	ifioft	ifiofb
694.936200	    0	  35727.000000000000	  21605.000000000000	   4597.000000000000	   1813.000000000000	    695.618000000000	    694.936200000000	   5599.000000000000	      0.000000000000	      1.653644989586	      0.212774820643	      0.083915760241	      0.259152973849
695.131900	    1	  36163.000000000000	  21813.000000000000	   4611.000000000000	   2022.000000000000	    695.618000000000	    695.131900000000	   5640.000000000000	      0.000000000000	      1.657864576170	      0.211387704580	      0.092697015541	      0.258561408334
695.352300	    2	  36461.000000000000	  21956.000000000000	   4631.000000000000	   2079.000000000000	    695.699000000000	    695.352300000000	   5645.000000000000	      0.000000000000	      1.660639460740	      0.210921843687	      0.094689378758	      0.257105119330
695.544100	    3	  36458.000000000000	  21960.000000000000	   4653.000000000000	   1898.000000000000	    695.912000000000	    695.544100000000	   5648.000000000000	      0.000000000000	      1.660200364299	      0.211885245902	      0.086429872495	      0.257194899818
695.754100	    4	  36494.000000000000	  21980.000000000000	   4649.000000000000	   1780.000000000000	    696.125000000000	    695.754100000000	   5635.000000000000	      0.000000000000	      1.660327570519	      0.211510464058	      0.080982711556	      0.256369426752
695.943700	    5	  36533.000000000000	  22003.000000000000	   4637.000000000000	   1935.000000000000	    696.324000000000	    695.943700000000	   5638.000000000000	      0.000000000000	      1.660364495751	      0.210743989456	      0.087942553288	      0.256237785756
696.147900	    6	  36556.000000000000	  22013.000000000000	   4649.000000000000	   2109.000000000000	    696.547000000000	    696.147900000000	   5654.000000000000	      0.000000000000	      1.660655067460	      0.211193385727	      0.095807023123	      0.256848226048
696.337700	    7	  36589.000000000000	  22035.000000000000	   4638.000000000000	   1972.000000000000	    696.782000000000	    696.337700000000	   5635.000000000000	      0.000000000000	      1.660494667574	      0.210483321988	      0.089493986839	      0.255729521216
696.549700	    8	  36623.000000000000	  22050.000000000000	   4657.000000000000	   1790.000000000000	    697.007000000000	    696.549700000000	   5640.000000000000	      0.000000000000	      1.660907029478	      0.211201814059	      0.081179138322	      0.255782312925
696.743700	    9	  36609.000000000000	  22066.000000000000	   4680.000000000000	   1860.000000000000	    697.220000000000	    696.743700000000	   5631.000000000000	      0.000000000000	      1.659068249796	      0.212090999728	      0.084292576815	      0.255188978519
696.949500	   10	  36621.000000000000	  22075.000000000000	   4639.000000000000	   2060.000000000000	    697.439000000000	    696.949500000000	   5649.000000000000	      0.000000000000	      1.658935447339	      0.210147225368	      0.093318233296	      0.255900339751
697.148700	   11	  36643.000000000000	  22078.000000000000	   4646.000000000000	   2048.000000000000	    697.669000000000	    697.148700000000	   5645.000000000000	      0.000000000000	      1.659706495154	      0.210435727874	      0.092762025546	      0.255684391702
697.363800	   12	  36608.000000000000	  22074.000000000000	   4630.000000000000	   1847.000000000000	    697.853000000000	    697.363800000000	   5624.000000000000	      0.000000000000	      1.658421672556	      0.209749026003	      0.083673099574	      0.254779378454
697.583100	   13	  36627.000000000000	  22087.000000000000	   4656.000000000000	   1835.000000000000	    698.125000000000	    697.583100000000	   5637.000000000000	      0.000000000000	      1.658305790737	      0.210802734640	      0.083080545117	      0.255218001539
697.815700	   14	  36622.000000000000	  22090.000000000000	   4655.000000000000	   1990.000000000000	    698.340000000000	    697.815700000000	   5635.000000000000	      0.000000000000	      1.657854232684	      0.210728836578	      0.090086011770	      0.255092802173
698.036300	   15	  36672.000000000000	  22111.000000000000	   4695.000000000000	   2064.000000000000	    698.561000000000	    698.036300000000	   5637.000000000000	      0.000000000000	      1.658540997693	      0.212337750441	      0.093347202750	      0.254940979603
698.271200	   16	  36685.000000000000	  22114.000000000000	   4659.000000000000	   1921.000000000000	    698.793000000000	    698.271200000000	   5629.000000000000	      0.000000000000	      1.658903861807	      0.210681016551	      0.086868047391	      0.254544632360
698.486500	   17	  36692.000000000000	  22126.000000000000	   4662.000000000000	   1824.000000000000	    699.024000000000	    698.486500000000	   5637.000000000000	      0.000000000000	      1.658320527886	      0.210702341137	      0.082436952002	      0.254768146072
698.734400	   18	  36712.000000000000	  22127.000000000000	   4668.000000000000	   1890.000000000000	    699.243000000000	    698.734400000000	   5654.000000000000	      0.000000000000	      1.659149455416	      0.210963980657	      0.085416007593	      0.255524924301
698.942300	   19	  36733.000000000000	  22139.000000000000	   4678.000000000000	   2053.000000000000	    699.472000000000	    698.942300000000	   5624.000000000000	      0.000000000000	      1.659198699128	      0.211301323456	      0.092732282398	      0.254031347396
699.175300	   20	  36744.000000000000	  22149.000000000000	   4686.000000000000	   2016.000000000000	    699.692000000000	    699.175300000000	   5653.000000000000	      0.000000000000	      1.658946227821	      0.211567113639	      0.091019910605	      0.255225969570
699.375900	   21	  36715.000000000000	  22136.000000000000	   4670.000000000000	   1866.000000000000	    699.925000000000	    699.375900000000	   5638.000000000000	      0.000000000000	      1.658610408385	      0.210968558005	      0.084297072642	      0.254698229129
699.616300	   22	  36715.000000000000	  22142.000000000000	   4675.000000000000	   1830.000000000000	    700.144000000000	    699.616300000000	   5679.000000000000	      0.000000000000	      1.658160961069	      0.211137205311	      0.082648360582	      0.256480896035
699.813600	   23	  36729.000000000000	  22157.000000000000	   4693.000000000000	   1983.000000000000	    700.359000000000	    699.813600000000	   5677.000000000000	      0.000000000000	      1.657670262220	      0.211806652525	      0.089497675678	      0.256216996886
700.039000	   24	  36771.000000000000	  22164.000000000000	   4687.000000000000	   2075.000000000000	    700.591000000000	    700.039000000000	   5667.000000000000	      0.000000000000	      1.659041689226	      0.211469048908	      0.093620285147	      0.255684894423
700.246700	   25	  36809.000000000000	  22176.000000000000	   4702.000000000000	   1927.000000000000	    700.824000000000	    700.246700000000	   5663.000000000000	      0.000000000000	      1.659857503608	      0.212031024531	      0.086895743146	      0.255366161616
700.445800	   26	  36829.000000000000	  22183.000000000000	   4682.000000000000	   1813.000000000000	    701.046000000000	    700.445800000000	   5697.000000000000	      0.000000000000	      1.660235315332	      0.211062525357	      0.081729252130	      0.256818284272
