 &SRS
 SRSRUN=236463,SRSDAT=2021124,SRSTIM=2496,
 SRSSTN='Bran',SRSPRJ='I06-1   ',SRSEXP='Emulator',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
<MetaDataAtStart>
command=scan fastEnergy 0.0 199.0 1.0 fesData 0 1
date='Wed Feb 24 14:49:05 2021'
beamenergy=3.00086290337
ringcurrent=298.076136813
iddgap=36.27835
iddtrp=22.2795
iddbrp=22.2795
idugap=100.0
idutrp=0.0
idubrp=0.0
pugap=155.004
pgmpitch=88.2676203428
pgmgratpitch=87.5559673643
cff=2.25
grating=400
pgmenergy=694.7739
denergy=694.774
uenergy=694.803
s1xgap=1.497
s1ygap=1.496
m1x=-5.0
m1pitch=-8509.0
m1qg=0.0606
m6x=3.0
m6yaw=-247.0
m6pitch=-10910.0
m6qg=0.0258
m7x=-1.4
m7pitch=6949.0
m7qg=16.1613
d9y=-16.000026
d10y=6.003
d11y=2.9
s6x=1.5147
s6xgap=1500.0
s6y=8.4885
s6ygap=20.068
iamp12_gain=10^7 V/A
magx=0.0
magy=0.0
magz=6.0
scmx=0.0
scmy=-4.0
scmth=3e-05
Tsample_mag=1.9
amp_scm_gain=5.0
amp_XABS_gain=6.0
amp_DDIFF_gain=5.0
m7y=-19.1
</MetaDataAtStart>
 &END
fastEnergy	pIndex	C1	C2	C3	C4	iddenergy	pgmenergy	C5	C6	idio	ifio	ifioft	ifiofb
694.928700	    0	  44127.000000000000	  24279.000000000000	   4466.000000000000	   1974.000000000000	    694.952000000000	    694.928700000000	   5523.000000000000	      0.000000000000	      1.817496602002	      0.183944973022	      0.081304831336	      0.227480538737
695.121800	    1	  44404.000000000000	  24375.000000000000	   4457.000000000000	   2121.000000000000	    694.952000000000	    695.121800000000	   5498.000000000000	      0.000000000000	      1.821702564103	      0.182851282051	      0.087015384615	      0.225558974359
695.345700	    2	  44530.000000000000	  24413.000000000000	   4460.000000000000	   1969.000000000000	    695.053000000000	    695.345700000000	   5492.000000000000	      0.000000000000	      1.824028181706	      0.182689550649	      0.080653750051	      0.224962110351
695.531500	    3	  44510.000000000000	  24421.000000000000	   4447.000000000000	   1803.000000000000	    695.269000000000	    695.531500000000	   5471.000000000000	      0.000000000000	      1.822611686663	      0.182097375210	      0.073829900495	      0.224028500061
695.742000	    4	  44542.000000000000	  24436.000000000000	   4447.000000000000	   1890.000000000000	    695.461000000000	    695.742000000000	   5466.000000000000	      0.000000000000	      1.822802422655	      0.181985595024	      0.077344900966	      0.223686364380
695.937600	    5	  44562.000000000000	  24449.000000000000	   4444.000000000000	   2093.000000000000	    695.657000000000	    695.937600000000	   5488.000000000000	      0.000000000000	      1.822651233179	      0.181766125404	      0.085606773283	      0.224467258375
696.143400	    6	  44561.000000000000	  24446.000000000000	   4474.000000000000	   2039.000000000000	    695.875000000000	    696.143400000000	   5471.000000000000	      0.000000000000	      1.822834001473	      0.183015626278	      0.083408328561	      0.223799394584
696.325500	    7	  44600.000000000000	  24468.000000000000	   4460.000000000000	   1840.000000000000	    696.105000000000	    696.325500000000	   5477.000000000000	      0.000000000000	      1.822788948831	      0.182278894883	      0.075200261566	      0.223843387281
696.538600	    8	  44605.000000000000	  24470.000000000000	   4465.000000000000	   1835.000000000000	    696.326000000000	    696.538600000000	   5473.000000000000	      0.000000000000	      1.822844299142	      0.182468328566	      0.074989783408	      0.223661626481
696.728500	    9	  44585.000000000000	  24473.000000000000	   4460.000000000000	   2040.000000000000	    696.566000000000	    696.728500000000	   5461.000000000000	      0.000000000000	      1.821803620316	      0.182241654068	      0.083357169125	      0.223143872839
696.936800	   10	  44585.000000000000	  24482.000000000000	   4452.000000000000	   2089.000000000000	    696.772000000000	    696.936800000000	   5473.000000000000	      0.000000000000	      1.821133894290	      0.181847888244	      0.085327996079	      0.223551997386
697.128500	   11	  44553.000000000000	  24481.000000000000	   4448.000000000000	   1898.000000000000	    696.993000000000	    697.128500000000	   5462.000000000000	      0.000000000000	      1.819901147829	      0.181691924349	      0.077529512683	      0.223111800989
697.356200	   12	  44597.000000000000	  24494.000000000000	   4471.000000000000	   1806.000000000000	    697.225000000000	    697.356200000000	   5466.000000000000	      0.000000000000	      1.820731607741	      0.182534498244	      0.073732342615	      0.223156691435
697.564900	   13	  44587.000000000000	  24500.000000000000	   4465.000000000000	   1958.000000000000	    697.467000000000	    697.564900000000	   5461.000000000000	      0.000000000000	      1.819877551020	      0.182244897959	      0.079918367347	      0.222897959184
697.803500	   14	  44583.000000000000	  24497.000000000000	   4458.000000000000	   2120.000000000000	    697.694000000000	    697.803500000000	   5450.000000000000	      0.000000000000	      1.819937135159	      0.181981467118	      0.086541209128	      0.222476221578
698.017500	   15	  44594.000000000000	  24512.000000000000	   4484.000000000000	   1973.000000000000	    697.896000000000	    698.017500000000	   5472.000000000000	      0.000000000000	      1.819272193211	      0.182930809399	      0.080491187990	      0.223237597911
